what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1354631841182
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1354631841182
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1354631841183
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1354631841184
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1354631841184
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1354631841185
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1354631841186
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1354631841186
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1354631841187
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1354631841187
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1354631841187
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1354631841188
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1354631841189
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1354631841189
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1354631841190
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1354631841190
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1354631841191
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1354631841191
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1354631841192
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1354631841193
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1354631841193
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1354631841194
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1354631841195
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1354631841195
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1354631841195
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1354631841196
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1354631841196
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1354631841197
os,sysinfo,,,"win32",1354631841200
arch,sysinfo,,,"x86",1354631841200
ws,sysinfo,,,"win32",1354631841200
locale,sysinfo,,,"it_IT",1354631841200
processors,sysinfo,,,"4",1354631841200
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354631841200
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1354631841200
java.specification.name,sysinfo,,,"Java Platform API Specification",1354631841200
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354631841200
java.specification.version,sysinfo,,,"1.6",1354631841200
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1354631841200
java.version,sysinfo,,,"1.6.0_32",1354631841200
java.vm.info,sysinfo,,,"mixed mode, sharing",1354631841200
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1354631841200
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354631841200
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354631841200
java.vm.specification.version,sysinfo,,,"1.0",1354631841200
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1354631841200
java.vm.version,sysinfo,,,"20.7-b02",1354631841200
